<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,D,20150901,000000,148.1900000,148.2000000,143.7000000,144.5000000,35201510
GAZP,D,20150902,000000,144.1000000,145.5000000,142.2500000,142.5700000,33514300
GAZP,D,20150903,000000,143.6800000,145.9500000,142.7000000,145.3000000,28087010
GAZP,D,20150904,000000,144.9000000,145.1300000,142.1700000,142.8000000,25838880
GAZP,D,20150907,000000,142.5100000,143.4000000,141.3200000,141.6700000,17910740
GAZP,D,20150908,000000,142.2700000,144.3900000,142.2300000,143.2100000,22287490
GAZP,D,20150909,000000,144.3000000,145.4000000,144.1100000,144.2200000,21087450
GAZP,D,20150910,000000,143.6100000,144.7800000,142.3500000,142.9900000,24683390
GAZP,D,20150911,000000,143.2600000,143.5000000,141.2000000,142.4000000,25360800
GAZP,D,20150914,000000,142.2600000,143.8700000,142.1000000,143.5800000,20550770
GAZP,D,20150915,000000,143.5500000,143.8000000,141.4500000,141.9500000,24385460
GAZP,D,20150916,000000,142.4000000,143.1700000,141.6000000,142.9100000,27457960
GAZP,D,20150917,000000,142.9900000,143.2700000,142.3100000,142.8000000,14278750
GAZP,D,20150918,000000,143.3400000,143.4000000,139.1000000,139.5000000,44180900
GAZP,D,20150921,000000,140.1100000,140.8400000,138.8200000,139.4500000,20702670
GAZP,D,20150922,000000,139.7100000,139.7100000,135.6800000,136.4000000,36495050
GAZP,D,20150923,000000,136.4000000,136.8800000,133.3800000,134.3000000,45293240
GAZP,D,20150924,000000,134.5700000,134.7800000,131.5000000,132.2000000,37779360
GAZP,D,20150925,000000,132.6100000,134.5500000,132.5400000,133.8500000,35599560
